Date,spx_Close,spx_Adj Close,vix_3m_Close,vix_6m_Close,vix_9d_Close,vix_cur_Close,total_users_holding,avg_users_holding_ln_ret,avg_users_holding_pct_chg
2/21/2014,1836.25,1836.25,15.64,16.73,13.04,14.68,,,
2/24/2014,1847.609985,1847.609985,15.5,16.59,13.55,14.23,,,
2/25/2014,1845.119995,1845.119995,15.5,16.64,12.86,13.67,,,
2/26/2014,1845.160034,1845.160034,15.91,16.97,13.27,14.35,,,
2/27/2014,1854.290039,1854.290039,15.63,16.72,12.42,14.04,,,
2/28/2014,1859.449951,1859.449951,15.8,16.86,13.03,14,,,
3/3/2014,1845.72998,1845.72998,16.92,17.63,16.21,16,,,
3/4/2014,1873.910034,1873.910034,15.69,16.82,13.22,14.1,,,
3/5/2014,1873.810059,1873.810059,15.77,16.93,12.49,13.89,,,
3/6/2014,1877.030029,1877.030029,15.83,16.99,13.08,14.21,,,
3/7/2014,1878.040039,1878.040039,15.87,17.08,12.74,14.11,,,
3/10/2014,1877.170044,1877.170044,15.97,17.05,13.14,14.2,,,
3/11/2014,1867.630005,1867.630005,16.35,17.35,14.13,14.8,,,
3/12/2014,1868.199951,1868.199951,16.08,17.19,13.85,14.47,,,
3/13/2014,1846.339966,1846.339966,17.13,18.06,17.21,16.22,,,
3/14/2014,1841.130005,1841.130005,17.93,18.6,20.64,17.82,,,
3/17/2014,1858.829956,1858.829956,16.69,17.64,15.87,15.64,,,
3/18/2014,1872.25,1872.25,16.15,17.28,14.23,14.52,,,
3/19/2014,1860.77002,1860.77002,16.38,17.55,15,15.12,,,
3/20/2014,1872.01001,1872.01001,15.86,17,14.22,14.52,,,
3/21/2014,1866.52002,1866.52002,16.18,17.28,14.7,15,,,
3/24/2014,1857.439941,1857.439941,16.1,17.27,15.3,15.09,,,
3/25/2014,1865.619995,1865.619995,15.53,16.93,13.87,14.02,,,
3/26/2014,1852.560059,1852.560059,16.08,17.35,15.56,14.93,,,
3/27/2014,1849.040039,1849.040039,15.87,17.22,15.17,14.62,,,
3/28/2014,1857.619995,1857.619995,15.46,16.89,14.41,14.41,,,
3/31/2014,1872.339966,1872.339966,15.08,16.57,13.75,13.88,,,
4/1/2014,1885.52002,1885.52002,14.4,16.07,12.29,13.1,,,
4/2/2014,1890.900024,1890.900024,14.45,16.11,12.13,13.09,,,
4/3/2014,1888.77002,1888.77002,14.5,16.13,12.53,13.37,,,
4/4/2014,1865.089966,1865.089966,14.96,16.5,13.18,13.96,,,
4/7/2014,1845.040039,1845.040039,15.9,17.18,16.08,15.57,,,
4/8/2014,1851.959961,1851.959961,15.53,16.9,14.51,14.89,,,
4/9/2014,1872.180054,1872.180054,14.83,16.36,12.69,13.82,,,
4/10/2014,1833.079956,1833.079956,16.07,17.27,16.5,15.89,,,
4/11/2014,1815.689941,1815.689941,16.79,17.69,17.64,17.03,,,
4/14/2014,1830.609985,1830.609985,16.34,17.47,16,16.11,,,
4/15/2014,1842.97998,1842.97998,15.99,17.22,15.03,15.61,,,
4/16/2014,1862.310059,1862.310059,15.23,16.83,13.52,14.18,,,
4/17/2014,1864.849976,1864.849976,14.84,16.62,11.68,13.36,,,
4/21/2014,1871.890015,1871.890015,14.75,16.44,12.99,13.25,,,
4/22/2014,1879.550049,1879.550049,14.61,16.29,12.51,13.19,,,
4/23/2014,1875.390015,1875.390015,14.83,16.36,12.67,13.27,,,
4/24/2014,1878.609985,1878.609985,14.77,16.32,13.27,13.32,,,
4/25/2014,1863.400024,1863.400024,15.18,16.64,13.94,14.06,,,
4/28/2014,1869.430054,1869.430054,14.93,16.45,14.08,13.97,,,
4/29/2014,1878.329956,1878.329956,14.83,16.31,13.63,13.71,,,
4/30/2014,1883.949951,1883.949951,14.7,16.17,12.73,13.41,,,
5/1/2014,1883.680054,1883.680054,14.67,16.2,12.58,13.25,,,
