Date,spx_Close,spx_Adj Close,vix_3m_Close,vix_6m_Close,vix_9d_Close,vix_cur_Close
2016-05-23,2048.040039,2048.040039,18.15,20.35,13.6,15.82
2016-05-24,2076.060059,2076.060059,17.08,19.37,11.91,14.42
2016-05-25,2090.540039,2090.540039,16.77,19.09,11.41,13.9
2016-05-26,2090.100098,2090.100098,16.56,18.94,10.46,13.43
2016-05-27,2099.060059,2099.060059,16.31,18.72,9.77,13.12
2016-05-31,2096.949951,2096.949951,16.63,19.03,11.85,14.19
2016-06-01,2099.330078,2099.330078,16.7,18.98,11.61,14.2
2016-06-02,2105.26001,2105.26001,16.37,18.77,11.01,13.63
2016-06-03,2099.129883,2099.129883,16.49,19.01,10.11,13.47
2016-06-06,2109.409912,2109.409912,16.44,18.87,11.26,13.65
2016-06-07,2112.129883,2112.129883,16.63,19.03,11.56,14.05
2016-06-08,2119.1201170000004,2119.1201170000004,16.79,19.04,10.89,14.08
2016-06-09,2115.47998,2115.47998,17.32,19.53,12.23,14.64
2016-06-10,2096.070068,2096.070068,18.94,20.74,15.83,17.03
2016-06-13,2079.060059,2079.060059,21.87,22.94,22.94,20.97
2016-06-14,2075.320068,2075.320068,21.94,22.62,23.35,20.5
2016-06-15,2071.5,2071.5,21.81,22.32,22.6,20.14
2016-06-16,2077.98999,2077.98999,21.16,21.8,21.89,19.37
2016-06-17,2071.219971,2071.219971,21.31,22.08,22.0,19.41
2016-06-20,2083.25,2083.25,19.81,20.87,22.21,18.37
2016-06-21,2088.899902,2088.899902,19.69,20.76,22.47,18.48
2016-06-22,2085.449951,2085.449951,21.08,21.39,27.86,21.17
2016-06-23,2113.320068,2113.320068,18.42,19.53,21.13,17.25
2016-06-24,2037.410034,2037.410034,23.93,23.55,30.71,25.76
2016-06-27,2000.540039,2000.540039,23.68,23.74,25.06,23.85
2016-06-28,2036.089966,2036.089966,20.26,21.23,19.08,18.75
2016-06-29,2070.77002,2070.77002,18.73,20.19,15.86,16.64
2016-06-30,2098.860107,2098.860107,18.09,19.79,14.05,15.63
2016-07-01,2102.949951,2102.949951,17.65,19.55,11.85,14.77
2016-07-05,2088.550049,2088.550049,18.24,19.99,14.19,15.58
2016-07-06,2099.72998,2099.72998,17.74,19.77,13.18,14.96
2016-07-07,2097.899902,2097.899902,17.76,19.6,13.11,14.76
2016-07-08,2129.899902,2129.899902,16.49,18.76,11.43,13.2
2016-07-11,2137.159912,2137.159912,16.49,18.6,12.23,13.54
2016-07-12,2152.139893,2152.139893,16.17,18.27,12.25,13.55
2016-07-13,2152.429932,2152.429932,15.97,18.07,11.11,13.04
2016-07-14,2163.75,2163.75,15.86,18.03,10.93,12.82
2016-07-15,2161.73999,2161.73999,15.99,18.15,10.26,12.67
2016-07-18,2166.889893,2166.889893,15.77,17.99,10.99,12.44
2016-07-19,2163.780029,2163.780029,15.74,17.92,11.02,11.97
2016-07-20,2173.02002,2173.02002,15.44,17.86,10.43,11.77
2016-07-21,2165.169922,2165.169922,16.1,18.45,11.5,12.74
2016-07-22,2175.030029,2175.030029,15.8,18.2,10.22,12.02
2016-07-25,2168.47998,2168.47998,16.27,18.44,11.93,12.87
2016-07-26,2169.179932,2169.179932,16.32,18.43,11.98,13.05
2016-07-27,2166.580078,2166.580078,16.1,18.39,11.61,12.83
2016-07-28,2170.060059,2170.060059,16.0,18.32,11.79,12.72
2016-07-29,2173.600098,2173.600098,15.42,17.88,10.01,11.87
2016-08-01,2170.840088,2170.840088,15.7,18.08,11.1,12.44
2016-08-02,2157.030029,2157.030029,16.39,18.64,12.35,13.37
2016-08-03,2163.790039,2163.790039,16.08,18.36,11.29,12.86
2016-08-04,2164.25,2164.25,15.71,18.01,10.8,12.42
2016-08-05,2182.8701170000004,2182.8701170000004,15.14,17.59,9.18,11.39
2016-08-08,2180.889893,2180.889893,15.16,17.53,10.1,11.5
2016-08-09,2181.73999,2181.73999,15.11,17.4,10.49,11.66
2016-08-10,2175.48999,2175.48999,15.41,17.58,10.68,12.05
2016-08-11,2185.790039,2185.790039,15.3,17.56,9.74,11.68
2016-08-12,2184.050049,2184.050049,15.26,17.62,9.54,11.55
2016-08-15,2190.149902,2190.149902,15.38,17.73,9.72,11.81
2016-08-16,2178.149902,2178.149902,16.02,18.18,10.87,12.64
2016-08-17,2182.219971,2182.219971,15.52,17.89,10.76,12.19
2016-08-18,2187.02002,2187.02002,15.16,17.7,9.9,11.43
2016-08-19,2183.8701170000004,2183.8701170000004,15.13,17.71,9.4,11.34
2016-08-22,2182.639893,2182.639893,15.5,17.9,10.95,12.27
2016-08-23,2186.899902,2186.899902,15.42,17.93,11.37,12.38
2016-08-24,2175.439941,2175.439941,16.0,18.27,12.67,13.45
2016-08-25,2172.469971,2172.469971,16.13,18.28,12.77,13.63
2016-08-26,2169.040039,2169.040039,16.24,18.42,12.1,13.65
2016-08-29,2180.379883,2180.379883,15.93,18.18,11.14,12.94
2016-08-30,2176.1201170000004,2176.1201170000004,16.03,18.29,11.21,13.12
2016-08-31,2170.949951,2170.949951,16.14,18.5,11.64,13.42
2016-09-01,2170.860107,2170.860107,16.31,18.56,11.89,13.48
2016-09-02,2179.97998,2179.97998,15.65,18.19,9.1,11.98
2016-09-06,2186.47998,2186.47998,15.56,18.03,9.98,12.02
2016-09-07,2186.159912,2186.159912,15.49,18.01,9.8,11.94
2016-09-08,2181.300049,2181.300049,15.81,18.31,10.99,12.51
2016-09-09,2127.810059,2127.810059,18.83,20.3,18.78,17.5
2016-09-12,2159.040039,2159.040039,17.27,19.12,16.03,15.16
2016-09-13,2127.02002,2127.02002,19.05,20.32,19.55,17.85
2016-09-14,2125.77002,2125.77002,19.35,20.75,19.38,18.14
2016-09-15,2147.26001,2147.26001,18.19,19.93,17.0,16.3
2016-09-16,2139.159912,2139.159912,17.88,19.58,15.27,15.37
2016-09-19,2139.1201170000004,2139.1201170000004,17.78,19.51,16.31,15.53
2016-09-20,2139.76001,2139.76001,17.99,19.65,17.22,15.92
2016-09-21,2163.1201170000004,2163.1201170000004,16.66,18.72,12.83,13.3
2016-09-22,2177.179932,2177.179932,15.94,18.2,10.79,12.02
2016-09-23,2164.689941,2164.689941,16.05,18.27,11.39,12.29
2016-09-26,2146.100098,2146.100098,17.28,18.99,15.67,14.5
2016-09-27,2159.929932,2159.929932,16.45,18.38,12.8,13.1
2016-09-28,2171.3701170000004,2171.3701170000004,16.01,18.13,11.72,12.39
2016-09-29,2151.129883,2151.129883,16.87,18.87,14.71,14.02
2016-09-30,2168.27002,2168.27002,16.37,18.44,12.37,13.29
2016-10-03,2161.199951,2161.199951,16.4,18.3,13.0,13.57
2016-10-04,2150.48999,2150.48999,16.47,18.33,12.95,13.63
2016-10-05,2159.72998,2159.72998,16.22,18.16,12.03,12.99
2016-10-06,2160.77002,2160.77002,16.07,18.06,11.47,12.84
2016-10-07,2153.73999,2153.73999,16.44,18.37,11.47,13.48
2016-10-10,2163.659912,2163.659912,15.95,18.05,10.81,13.38
2016-10-11,2136.72998,2136.72998,16.94,18.76,13.34,15.36
2016-10-12,2139.179932,2139.179932,17.02,18.91,13.16,15.91
2016-10-13,2132.550049,2132.550049,17.59,19.27,14.07,16.69
2016-10-14,2132.97998,2132.97998,17.42,19.14,12.94,16.12
2016-10-17,2126.5,2126.5,17.47,19.18,13.81,16.21
2016-10-18,2139.600098,2139.600098,16.92,18.86,12.45,15.28
2016-10-19,2144.290039,2144.290039,16.46,18.52,11.97,14.41
2016-10-20,2141.340088,2141.340088,16.23,18.37,11.07,13.75
2016-10-21,2141.159912,2141.159912,16.04,18.24,10.68,13.34
2016-10-24,2151.330078,2151.330078,15.61,17.98,11.35,13.02
2016-10-25,2143.159912,2143.159912,15.81,18.05,11.9,13.46
2016-10-26,2139.429932,2139.429932,16.25,18.35,12.58,14.24
2016-10-27,2133.040039,2133.040039,16.93,18.81,14.59,15.36
2016-10-28,2126.409912,2126.409912,17.37,19.03,16.69,16.19
2016-10-31,2126.149902,2126.149902,17.85,19.23,20.19,17.06
2016-11-01,2111.719971,2111.719971,18.74,19.88,22.86,18.56
2016-11-02,2097.939941,2097.939941,19.18,20.11,24.16,19.32
2016-11-03,2088.659912,2088.659912,20.7,21.0,27.9,22.08
2016-11-04,2085.179932,2085.179932,21.13,21.44,28.82,22.51
2016-11-07,2131.52002,2131.52002,18.15,19.24,24.67,18.71
2016-11-08,2139.560059,2139.560059,18.1,19.26,25.31,18.74
2016-11-09,2163.26001,2163.26001,16.28,18.09,15.36,14.38
2016-11-10,2167.47998,2167.47998,16.75,18.56,14.12,14.74
2016-11-11,2164.449951,2164.449951,16.49,18.45,12.84,14.17
2016-11-14,2164.199951,2164.199951,16.7,18.62,12.51,14.48
2016-11-15,2180.389893,2180.389893,15.75,18.03,10.64,13.37
2016-11-16,2176.939941,2176.939941,16.07,18.27,9.52,13.72
2016-11-17,2187.1201170000004,2187.1201170000004,15.64,17.96,9.38,13.35
2016-11-18,2181.899902,2181.899902,15.52,18.02,8.63,12.85
2016-11-21,2198.179932,2198.179932,15.32,17.82,10.0,12.42
2016-11-22,2202.939941,2202.939941,15.35,17.81,10.2,12.41
2016-11-23,2204.719971,2204.719971,15.43,17.86,10.06,12.43
2016-11-25,2213.350098,2213.350098,15.51,17.93,10.43,12.34
2016-11-28,2201.719971,2201.719971,16.02,18.2,12.86,13.15
2016-11-29,2204.659912,2204.659912,15.9,18.14,12.64,12.9
2016-11-30,2198.810059,2198.810059,16.1,18.25,13.23,13.33
2016-12-01,2191.080078,2191.080078,16.67,18.64,13.96,14.07
2016-12-02,2191.949951,2191.949951,16.78,18.75,13.64,14.12
2016-12-05,2204.709961,2204.709961,15.77,18.02,11.41,12.14
2016-12-06,2212.22998,2212.22998,15.48,17.84,10.84,11.79
2016-12-07,2241.350098,2241.350098,15.48,17.75,11.79,12.22
2016-12-08,2246.189941,2246.189941,15.72,17.95,12.92,12.64
2016-12-09,2259.530029,2259.530029,15.22,17.66,11.1,11.75
2016-12-12,2256.959961,2256.959961,15.73,17.85,12.25,12.64
2016-12-13,2271.719971,2271.719971,15.7,17.82,12.25,12.72
2016-12-14,2253.280029,2253.280029,15.87,17.91,12.84,13.19
2016-12-15,2262.030029,2262.030029,15.75,17.9,11.85,12.79
2016-12-16,2258.070068,2258.070068,15.57,17.77,10.67,12.2
2016-12-19,2262.530029,2262.530029,15.31,17.57,9.95,11.71
2016-12-20,2270.76001,2270.76001,15.14,17.52,9.85,11.45
2016-12-21,2265.179932,2265.179932,15.09,17.52,9.33,11.27
2016-12-22,2260.959961,2260.959961,15.29,17.69,9.34,11.43
2016-12-23,2263.790039,2263.790039,15.25,17.63,8.98,11.44
2016-12-27,2268.879883,2268.879883,15.36,17.64,10.22,11.99
2016-12-28,2249.919922,2249.919922,15.93,18.04,11.22,12.95
2016-12-29,2249.26001,2249.26001,16.16,18.22,11.64,13.37
2016-12-30,2238.830078,2238.830078,16.54,18.57,12.68,14.04
2017-01-03,2257.830078,2257.830078,15.56,17.77,11.99,12.85
2017-01-04,2270.75,2270.75,14.84,17.16,10.68,11.85
2017-01-05,2269.0,2269.0,14.7,17.03,9.95,11.67
2017-01-06,2276.97998,2276.97998,14.56,16.92,9.19,11.32
2017-01-09,2268.899902,2268.899902,14.63,17.04,9.44,11.56
2017-01-10,2268.899902,2268.899902,14.66,17.09,8.88,11.49
2017-01-11,2275.320068,2275.320068,14.47,16.97,8.88,11.26
2017-01-12,2270.439941,2270.439941,14.58,17.13,9.32,11.54
2017-01-13,2274.639893,2274.639893,14.54,17.16,8.99,11.23
2017-01-17,2267.889893,2267.889893,14.89,17.45,10.85,11.87
2017-01-18,2271.889893,2271.889893,14.94,17.41,11.29,12.48
2017-01-19,2263.689941,2263.689941,15.02,17.38,11.5,12.78
2017-01-20,2271.310059,2271.310059,14.49,17.07,9.72,11.54
2017-01-23,2265.199951,2265.199951,14.54,16.94,10.92,11.77
2017-01-24,2280.070068,2280.070068,13.87,16.25,10.08,11.07
2017-01-25,2298.3701170000004,2298.3701170000004,13.61,15.95,10.06,10.81
2017-01-26,2296.679932,2296.679932,13.63,16.07,9.71,10.63
2017-01-27,2294.689941,2294.689941,13.68,16.21,9.36,10.58
